Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
DEU;AGR;1.026807924;1.022357756;1.063012334;1.048425255;1.07533445;1.078783901;1.097775607;1.084341481;1.069809286;1.079092514
DEU;SER;27.92617362;30.57218311;34.87072717;38.80877624;42.79000984;47.67528469;54.26943737;63.32842631;78.66870303;119.5941147
DEU;DWE;27.1065428;24.66174165;24.32394647;23.98913491;24.40823248;24.73902188;25.14001488;25.67672275;26.12836596;28.60533104
FRA;oil;2.253485061;2.724314896;3.113043903;3.42282111;4.05995363;4.156220184;4.110361503;4.427401386;5.01038704;4.899319475
FRA;gas;0.196952117;0.252321101;0.27071445;0.264727654;0.283828462;0.284518733;0.274891168;0.260471339;0.315070931;0.398247483
FRA;ppp;1.101534538;1.081646725;1.107813262;1.36499182;1.439911229;1.599395981;1.649305761;1.941203623;2.456440284;3.942636536
FRA;nmm;0.144013112;0.193100499;0.29585052;0.269165509;0.416084915;0.379874955;0.491861509;0.545029163;0.643157123;0.765627388
FRA;nfm;0.003742929;0.005449207;0.010186732;0.007580624;0.015287778;0.014461393;0.017253312;0.017630993;0.021948384;0.019915401
FRA;mvh;1.791587829;2.746357708;4.355436287;5.814140869;6.349938813;7.368771596;8.367440784;8.912890012;10.59389381;13.71934212
FRA;ele;1.572373278;1.79518027;1.953671256;1.963940826;2.097138337;2.084459404;2.398804311;2.204751749;2.591724625;3.344686204
FRA;COL;0.001891116;0.00324078;0.002735335;0.003494427;0.003144164;0.003618005;0.003975503;0.003869348;0.003411892;0.002798901
FRA;CRU;1.97E-07;2.97E-07;3.10E-07;3.38E-07;3.52E-07;3.40E-07;2.70E-07;2.68E-07;4.08E-07;4.67E-07
FRA;CHM;2.407176462;2.871531947;3.569858126;3.739923877;4.273455423;4.466359387;4.556430534;5.444358848;5.780810523;6.357302357
FRA;IRS;0.001978437;0.002880341;0.0053845;0.004006964;0.00808081;0.007643999;0.009119751;0.009319386;0.011601471;0.010526878
FRA;MAC;1.783208007;2.492400114;3.681687504;4.546501483;4.950977324;5.700024552;6.36252127;6.963886995;8.207891019;10.59329354
FRA;FOT;8.836930016;9.702251901;10.62288043;11.40453687;11.90791746;11.73593164;12.25700132;12.8190922;14.08389021;15.68933106
FRA;ROI;6.298823613;5.817825724;5.855009369;6.380870576;6.99223699;7.333994056;7.882826137;9.02064662;11.59102952;13.94194663
FRA;BUI;0.291816829;0.69290386;0.783305955;0.737677081;1.225854048;1.257816315;1.494990373;1.358682053;1.993557843;1.76413971
FRA;TRN;5.596639835;3.14917564;3.262656929;3.417128231;2.807521971;3.433687886;4.61067042;4.934913454;6.83289403;10.92835537
FRA;AGR;1.023781623;1.138231544;1.261410793;1.340958474;1.385657327;1.39323297;1.462588831;1.533002809;1.637188469;1.831194002
FRA;SER;25.62076792;26.37331651;31.40720541;33.73622239;35.97345536;38.3378767;41.71942117;47.16464023;55.04620846;74.50322605
FRA;DWE;15.41285665;15.13715727;17.85008909;19.37833743;21.33741484;22.05333748;23.53399505;25.35946522;28.63132853;33.96973351
ITA;oil;1.13203701;1.694927877;2.07778691;2.412647308;2.640916928;2.846419161;3.135715258;3.367668056;3.832756225;3.847601578
ITA;gas;0.502115474;0.694799932;0.794422713;0.893897697;0.901125978;1.0384488;1.105776509;1.121075285;1.193309543;1.208334409
ITA;ppp;0.377224211;0.628335669;0.811330686;1.013508421;1.375612211;1.602629189;1.832190915;2.403921983;2.678042169;3.107555399
ITA;nmm;0.10091491;1.65E-01;0.286321678;0.350724009;0.326158066;0.427629799;0.533414393;0.632915538;0.840398339;1.117564721
ITA;nfm;6.45445E-05;0.000149237;0.000313038;0.000451263;0.000620776;0.000801557;0.000949865;0.001439176;0.002443807;0.005459056
ITA;mvh;0.079402315;0.166329976;0.349347472;0.385984114;0.685463561;0.914766153;1.172211021;1.818422956;2.753130631;26.98678611
